date,montant,categorie,description
2025-01-10,411.4,Abonnement,Bientôt fête fumée embrasser risquer quarante flot.
2024-11-06,438.69,Logement,Également suite source vaincre croix fois tout.
2025-02-07,331.02,Santé,Crise fatiguer course souffrance durant savoir lumière vrai.
2024-11-28,293.24,Alimentation,Glace rose flot extraordinaire taire nommer hors.
2025-08-27,123.65,Transport,Anglais consulter or raconter.
2025-09-13,459.58,Diverstissement,Vieux réflexion lendemain sentier.
2025-08-12,271.86,Transport,Etc douze acheter soit étrange français vrai.
2024-11-26,178.61,Voyage,Passé ni chasse plutôt voilà décrire sec.
2024-11-16,394.85,Voyage,Saluer entrer souhaiter appuyer profondément force.
2024-10-24,105.34,Transport,Que vieil lutter sentiment crier prêt voler.
2025-07-10,322.0,Logement,Chemise renverser plante.
2025-06-04,283.88,Transport,Vision famille réalité rappeler oncle aujourd'hui.
2024-12-06,447.85,Shopping,Plan faux musique présenter billet même.
2025-07-28,79.01,Diverstissement,Public nord rouge jeter.
2025-08-21,48.27,Logement,Quelque parmi raison sorte entre.
2024-11-16,188.69,Logement,Mien tant après.
2025-06-09,79.98,Transport,Vague respirer instinct enfoncer grâce.
2025-05-03,448.33,Shopping,Hésiter nourrir porte intérêt joue imaginer.
2025-08-19,63.82,Santé,Fait moyen suite nez fou.
2024-12-31,237.0,Diverstissement,Dégager pourquoi accompagner front aucun.
2025-04-26,324.75,Santé,Préparer maison voisin hier ton son.
2025-02-07,162.26,Transport,Habitude protéger fer oeil.
2025-02-22,329.11,Abonnement,Distance soir nature coucher.
2024-11-16,330.66,Abonnement,Derrière manquer achever juge oeil avec grand.
2025-06-02,73.75,Diverstissement,Maître machine adresser aspect.
2024-11-25,312.57,Voyage,Cheval fixer profondément haut vieux imposer retirer.
2025-02-01,241.87,Abonnement,Certes tapis chanter sujet un public qui.
2025-05-22,115.88,Transport,Debout passé bête prouver tantôt éprouver.
2024-11-07,481.57,Diverstissement,Saint ici douze objet par sauvage couvrir.
2025-03-04,136.75,Transport,Complètement commander aucun année durant chance autour politique.
2025-06-14,119.25,Transport,Finir nombreux effort moins pauvre oncle bien.
2025-04-10,78.8,Voyage,Danser propos ce caresser as impression satisfaire.
2024-12-01,428.62,Logement,Remplir toit chemin journée.
2025-06-14,224.4,Abonnement,Reconnaître penser abattre art regarder achever.
2025-05-11,435.58,Alimentation,Chanter soin faible général moyen conseil compagnon.
2024-11-23,251.66,Voyage,Distance expression soleil asseoir impossible.
2025-08-23,359.5,Santé,Libre existence donner fort éprouver envoyer.
2025-01-27,322.96,Santé,Avouer précipiter désormais quart aucun ami troubler.
2025-06-27,391.18,Alimentation,Revoir ensuite cou erreur vert plutôt.
2025-08-23,129.25,Alimentation,Rapporter prononcer fin couche.
2025-08-17,433.54,Alimentation,Consulter supporter surveiller chaise théâtre.
2025-05-05,322.11,Logement,Trou mort qui tempête.
2025-06-01,173.78,Shopping,Humide te enfoncer éclat larme sept.
2025-03-26,221.34,Diverstissement,Gouvernement asseoir puissant village vide vingt.
2025-02-19,338.15,Santé,Chercher endormir trois sortir remercier ah marché.
2025-03-21,364.38,Santé,Falloir éloigner raconter prix chaque chasser secrétaire admettre.
2025-02-18,34.34,Shopping,Poche passer casser vert bout.
2025-05-06,338.27,Santé,Miser quelque étude taille.
2025-07-08,122.12,Santé,Peser user diriger perte suivre.
2025-03-27,427.72,Transport,Début fier note milieu.
2024-11-14,128.8,Diverstissement,Nommer moyen consentir inspirer courant président transformer.
2024-09-24,147.97,Shopping,Beau toute vendre tendre frais intéresser soin.
2025-04-01,488.58,Santé,Enlever le relation supporter nous or tandis que.
2025-04-21,219.09,Diverstissement,Tenter trop tapis accepter rare déclarer.
2025-06-27,81.09,Voyage,Chant centre subir.
2024-10-16,22.55,Transport,Effacer abri garde certainement nombreux commencer rêve.
2025-06-19,470.58,Transport,Plan paix sauvage.
2024-11-14,153.85,Diverstissement,Soumettre produire changer salle terrain long trouver.
2025-02-28,107.45,Shopping,Égal appuyer doute répéter autrement garçon.
2025-04-26,79.66,Shopping,Dire escalier usage ciel demi l'un.
2024-09-23,8.87,Diverstissement,Gauche protéger faux grave croire espace.
2025-05-26,436.36,Santé,Étaler neuf auteur guerre énorme battre attacher saint.
2025-04-08,369.21,Transport,Élever course succès soumettre.
2025-03-17,324.17,Shopping,Froid partir banc journal rêve remplacer.
2025-04-29,202.32,Alimentation,Capable fatigue dehors sens.
2024-10-15,449.23,Alimentation,Livre professeur comprendre.
2024-12-05,374.98,Santé,Personne angoisse surveiller confier tromper joindre en.
2025-03-16,420.24,Diverstissement,Feu compagnie contenter brûler.
2025-02-03,200.6,Transport,Haut mari village bataille blanc monsieur.
2025-05-27,187.34,Santé,Devenir décider qui arbre pousser.
2024-10-26,111.85,Santé,Pays hésiter asseoir social d'autres attaquer achever fumée.
2025-01-21,279.68,Voyage,Billet accompagner obtenir trait car.
2024-10-16,479.94,Alimentation,Vue tout effort grand peser chemise tirer.
2025-03-01,212.59,Diverstissement,Goût air connaître soulever secret arbre poursuivre reculer.
2024-09-19,67.81,Alimentation,Secours principe mort facile.
2025-04-22,290.55,Voyage,Oreille imaginer je entrer pourquoi chasser neuf.
2024-10-12,263.94,Logement,Vol peau recueillir jaune réclamer voiture vague émotion.
2024-10-16,25.5,Voyage,Bruit cela cabinet lui debout importer chasse.
2025-05-12,174.36,Diverstissement,Sens cher livre rire.
2025-03-26,144.67,Transport,Escalier masse ainsi saison ramener heureux.
